Source Station,Target Station,Weight
Embankment,Waterloo,1967
East Putney,Southfields,603
Fulham Broadway,Parsons Green,592
Ruislip Gardens,West Ruislip,145
Harrow-on-the-Hill,West Harrow,237
High Barnet,Totteridge and Whetstone,364
Arsenal,Holloway Road,198
Buckhurst Hill,Woodford,222
Hounslow East,Osterley,174
Holland Park,Shepherds Bush,762
Shepherds Bush,White City,1096
Barking,East Ham,742
South Woodford,Woodford,280
Earls Court,West Kensington,715
Goodge Street,Tottenham Court Road,1044
Golders Green,Hampstead,544
Euston,Mornington Crescent,675
Charing Cross,Piccadilly Circus,1280
Maida Vale,Warwick Avenue,175
Chalfont and Latimer,Chorleywood,188
Kingsbury,Queensbury,193
Clapham Common,Clapham North,462
Colindale,Hendon Central,504
Paddington,Warwick Avenue,1294
Green Park,Oxford Circus,2594
Hornchurch,Upminster Bridge,102
Ealing Broadway,West Acton,462
Caledonian Road,Kings Cross St. Pancras,1062
Liverpool Street,Moorgate,1642
Holland Park,Notting Hill Gate,577
Morden,South Wimbledon,963
Becontree,Dagenham Heathway,214
Ickenham,Ruislip,108
Alperton,Sudbury Town,177
Burnt Oak,Edgware,459
Finchley Road,Wembley Park,621
Angel,Old Street,497
Roding Valley,Woodford,150
Bethnal Green,Mile End,521
Borough,London Bridge,1335
Covent Garden,Holborn,936
Ruislip Gardens,South Ruislip,147
Canary Wharf,North Greenwich,2904
Kensal Green,Willesden Junction,332
Arnos Grove,Bounds Green,347
Barons Court,Earls Court,831
Lancaster Gate,Queensway,413
Belsize Park,Chalk Farm,417
Kentish Town,Tufnell Park,340
Gloucester Road,High Street Kensington,685
East Acton,North Acton,249
Blackfriars,Mansion House,441
Chorleywood,Rickmansworth,121
North Harrow,Pinner,114
Bermondsey,London Bridge,1703
Brent Cross,Golders Green,381
Caledonian Road,Holloway Road,203
Kilburn,Willesden Green,420
East Finchley,Finchley Central,634
Earls Court,West Brompton,736
Covent Garden,Leicester Square,1317
Camden Town,Kentish Town,1002
Shepherds Bush Market,Wood Lane,736
Tooting Bec,Tooting Broadway,1011
Oxford Circus,Tottenham Court Road,3143
Euston,Warren Street,590
Kennington,Waterloo,1615
Neasden,Wembley Park,447
Cannon Street,Mansion House,155
Arsenal,Finsbury Park,761
Dagenham East,Dagenham Heathway,204
Hounslow Central,Hounslow East,199
Harrow-on-the-Hill,North Harrow,310
Embankment,Temple,439
Elephant and Castle,Kennington,592
